ph_model,nhid,layers,ptdecay,ftdecay,ins_pl,decode_acc
mono,500,1,0.0001,0.05,-2.0,67.23
mono,500,1,0.0001,0.1,-2.0,66.37
mono,500,1,0.01,0.0001,-2.0,67.48
mono,500,1,0.01,0.0005,-2.0,67.42
mono,500,1,0.01,0.001,-2.0,67.42
mono,500,1,0.01,0.005,-2.0,67.56
mono,500,1,0.01,0.01,-2.0,67.46
mono,500,1,0.01,0.05,-2.0,67.23
mono,500,1,0.01,0.1,-2.0,66.37
mono,500,2,0.001,0.0001,-2.0,68.72
mono,500,2,0.001,0.0005,-2.0,68.39
mono,500,2,0.001,0.001,-2.0,68.42
mono,500,2,0.001,0.005,-2.0,68.92
mono,500,2,0.001,0.01,-2.0,69.10
mono,500,2,0.001,0.05,-2.0,68.31
mono,500,2,0.001,0.1,-2.0,66.82
mono,500,2,0.0001,0.0001,-2.0,68.58
mono,500,2,0.0001,0.0005,-2.0,68.48
mono,500,2,0.0001,0.001,-2.0,68.35
mono,500,2,0.0001,0.005,-2.0,68.52
mono,500,2,0.0001,0.01,-2.0,68.61
mono,500,2,0.0001,0.05,-2.0,67.87
mono,500,2,0.0001,0.1,-2.0,66.79
mono,500,2,0.01,0.0001,-2.0,68.11
mono,500,2,0.01,0.0005,-2.0,68.11
mono,500,2,0.01,0.001,-2.0,68.11
mono,500,2,0.01,0.005,-2.0,68.39
mono,500,2,0.01,0.01,-2.0,68.72
mono,500,2,0.01,0.05,-2.0,67.87
mono,500,2,0.01,0.1,-2.0,66.77
mono,500,3,0.001,0.0001,-2.0,69.38
mono,500,3,0.001,0.0005,-2.0,69.23
mono,500,3,0.001,0.001,-2.0,69.55
mono,500,3,0.001,0.005,-2.0,69.43
mono,500,3,0.001,0.01,-2.0,69.33
mono,500,3,0.001,0.05,-2.0,68.47
mono,500,3,0.001,0.1,-2.0,67.51
mono,500,3,0.0001,0.0001,-2.0,68.93
mono,500,3,0.0001,0.0005,-2.0,69.16
mono,500,3,0.0001,0.001,-2.0,69.63
mono,500,3,0.0001,0.005,-2.0,69.43
mono,500,3,0.0001,0.01,-2.0,69.40
mono,500,3,0.0001,0.05,-2.0,69.15
mono,500,3,0.0001,0.1,-2.0,67.17
mono,500,3,0.01,0.0001,-2.0,69.49
mono,500,3,0.01,0.0005,-2.0,69.10
mono,500,3,0.01,0.001,-2.0,69.46
mono,500,3,0.01,0.005,-2.0,69.20
mono,500,3,0.01,0.01,-2.0,68.82
mono,500,3,0.01,0.05,-2.0,68.95
mono,500,3,0.01,0.1,-2.0,66.37
mono,500,4,0.001,0.0001,-2.0,69.70
mono,500,4,0.001,0.0005,-2.0,70.15
mono,500,4,0.001,0.001,-2.0,69.95
mono,500,4,0.001,0.005,-2.0,69.97
mono,500,4,0.001,0.01,-2.0,70.12
mono,500,4,0.001,0.05,-2.0,67.97
mono,500,4,0.001,0.1,-2.0,68.08
mono,500,4,0.0001,0.0005,-2.0,70.09
mono,500,4,0.0001,0.001,-2.0,69.44
mono,500,4,0.0001,0.005,-2.0,69.70
mono,500,4,0.0001,0.01,-2.0,69.94
mono,500,4,0.0001,0.05,-2.0,68.73
mono,500,4,0.0001,0.1,-2.0,68.11
mono,500,4,0.01,0.0001,-2.0,70.26
mono,500,4,0.01,0.0005,-2.0,69.53
mono,500,4,0.01,0.001,-2.0,70.29
mono,500,4,0.01,0.005,-2.0,70.14
mono,500,4,0.01,0.01,-2.0,70.17
mono,500,4,0.01,0.05,-2.0,69.03
mono,500,4,0.01,0.1,-2.0,67.36
mono,500,5,0.001,0.0001,-2.0,70.23
mono,500,5,0.001,0.0005,-2.0,70.06
mono,500,5,0.001,0.001,-2.0,70.03
mono,500,5,0.001,0.005,-2.0,70.15
mono,500,5,0.001,0.01,-2.0,69.72
mono,500,5,0.001,0.05,-2.0,69.53
mono,500,5,0.001,0.1,-2.0,67.94
mono,500,5,0.0001,0.0001,-2.0,70.06
mono,500,5,0.0001,0.0005,-2.0,70.08
mono,500,5,0.0001,0.001,-2.0,70.11
mono,500,5,0.0001,0.005,-2.0,69.95
mono,500,5,0.0001,0.01,-2.0,69.75
mono,500,5,0.0001,0.05,-2.0,69.63
mono,500,5,0.0001,0.1,-2.0,67.96
mono,500,5,0.01,0.0001,-2.0,69.43
mono,500,5,0.01,0.0005,-2.0,69.69
mono,500,5,0.01,0.001,-2.0,69.84
mono,500,5,0.01,0.005,-2.0,70.21
mono,500,5,0.01,0.01,-2.0,70.06
mono,500,5,0.01,0.05,-2.0,69.03
mono,500,5,0.01,0.1,-2.0,68.16
mono,500,6,0.001,0.0001,-2.0,70.20
mono,500,6,0.001,0.0005,-2.0,70.29
mono,500,6,0.001,0.001,-2.0,70.21
mono,500,6,0.001,0.005,-2.0,70.57
mono,500,6,0.001,0.01,-2.0,70.21
mono,500,6,0.001,0.05,-2.0,69.33
mono,500,6,0.001,0.1,-2.0,67.39
mono,500,6,0.0001,0.0001,-2.0,70.06
mono,500,6,0.0001,0.0005,-2.0,70.31
mono,500,6,0.0001,0.001,-2.0,70.12
mono,500,6,0.0001,0.005,-2.0,70.34
mono,500,6,0.0001,0.01,-2.0,70.15
mono,500,6,0.0001,0.05,-2.0,69.32
mono,500,6,0.0001,0.1,-2.0,67.31
mono,500,6,0.01,0.0001,-2.0,70.48
mono,500,6,0.01,0.0005,-2.0,70.54
mono,500,6,0.01,0.001,-2.0,70.71
mono,500,6,0.01,0.005,-2.0,70.72
mono,500,6,0.01,0.01,-2.0,70.40
mono,500,6,0.01,0.05,-2.0,69.95
mono,500,6,0.01,0.1,-2.0,67.29
mono,500,7,0.001,0.0001,-2.0,70.15
mono,500,7,0.001,0.0005,-2.0,70.21
mono,500,7,0.001,0.001,-2.0,70.18
mono,500,7,0.001,0.005,-2.0,70.35
mono,500,7,0.001,0.01,-2.0,70.40
mono,500,7,0.001,0.05,-2.0,68.99
mono,500,7,0.001,0.1,-2.0,67.76
mono,500,7,0.0001,0.0001,-2.0,70.18
mono,500,7,0.0001,0.0005,-2.0,70.25
mono,500,7,0.0001,0.001,-2.0,70.18
mono,500,7,0.0001,0.005,-2.0,70.37
mono,500,7,0.0001,0.01,-2.0,70.20
mono,500,7,0.0001,0.05,-2.0,69.26
mono,500,7,0.0001,0.1,-2.0,67.77
mono,500,7,0.01,0.0001,-2.0,70.37
mono,500,7,0.01,0.0005,-2.0,70.32
mono,500,7,0.01,0.001,-2.0,70.40
mono,500,7,0.01,0.005,-2.0,70.21
mono,500,7,0.01,0.01,-2.0,70.14
mono,500,7,0.01,0.05,-2.0,68.86
mono,500,7,0.01,0.1,-2.0,68.30
mono,500,8,0.001,0.0001,-2.0,70.55
mono,500,8,0.001,0.0005,-2.0,70.55
mono,500,8,0.001,0.001,-2.0,70.68
mono,500,8,0.001,0.005,-2.0,70.51
mono,500,8,0.001,0.01,-2.0,70.66
mono,500,8,0.001,0.05,-2.0,68.79
mono,500,8,0.001,0.1,-2.0,68.52
mono,500,8,0.0001,0.0001,-2.0,70.09
mono,500,8,0.0001,0.0005,-2.0,70.14
mono,500,8,0.0001,0.001,-2.0,70.45
mono,500,8,0.0001,0.005,-2.0,70.55
mono,500,8,0.0001,0.01,-2.0,70.49
mono,500,8,0.0001,0.05,-2.0,68.73
mono,500,8,0.0001,0.1,-2.0,68.62
mono,500,8,0.01,0.0001,-2.0,70.35
mono,500,8,0.01,0.0005,-2.0,69.95
mono,500,8,0.01,0.005,-2.0,70.31
mono,500,8,0.01,0.01,-2.0,70.23
mono,500,8,0.01,0.05,-2.0,69.23
mono,500,8,0.01,0.1,-2.0,68.50
mono,500,9,0.001,0.0001,-2.0,70.31
mono,500,9,0.001,0.0005,-2.0,70.52
mono,500,9,0.001,0.001,-2.0,70.42
mono,500,9,0.001,0.005,-2.0,70.34
mono,500,9,0.001,0.01,-2.0,70.03
mono,500,9,0.001,0.05,-2.0,69.27
mono,500,9,0.001,0.1,-2.0,68.22
mono,500,9,0.0001,0.0001,-2.0,70.31
mono,500,9,0.0001,0.0005,-2.0,70.43
