ph_model,nhid,layers,ptdecay,ftdecay,ins,gscale,decode_acc
mono,500,6,0.001,0.001,0.0,0.0,64.25
mono,500,6,0.001,0.001,0.0,2.0,69.74
mono,500,6,0.001,0.001,0.0,4.0,69.52
mono,500,6,0.001,0.001,0.0,8.0,66.15
mono,500,6,0.001,0.001,0.0,16.0,54.81
mono,500,6,0.001,0.001,-2.0,0.0,64.81
mono,500,6,0.001,0.001,-4.0,0.0,64.93
mono,500,6,0.001,0.001,-8.0,0.0,63.77
mono,500,6,0.001,0.001,-16.0,0.0,60.37
xwbir,500,6,0.001,0.001,0.0,0.0,65.52
xwbir,500,6,0.001,0.001,0.0,2.0,71.30
xwbir,500,6,0.001,0.001,0.0,4.0,72.38
xwbir,500,6,0.001,0.001,0.0,8.0,69.72
xwbir,500,6,0.001,0.001,0.0,16.0,60.35
xwbir,500,6,0.001,0.001,-2.0,0.0,66.21
xwbir,500,6,0.001,0.001,-4.0,0.0,66.85
xwbir,500,6,0.001,0.001,-8.0,0.0,66.60
xwbir,500,6,0.001,0.001,-16.0,0.0,65.02
xwbil,500,6,0.001,0.001,0.0,0.0,65.89
xwbil,500,6,0.001,0.001,0.0,2.0,71.96
xwbil,500,6,0.001,0.001,0.0,4.0,72.25
xwbil,500,6,0.001,0.001,0.0,8.0,69.07
xwbil,500,6,0.001,0.001,0.0,16.0,60.71
xwbil,500,6,0.001,0.001,-2.0,0.0,66.62
xwbil,500,6,0.001,0.001,-4.0,0.0,66.92
xwbil,500,6,0.001,0.001,-8.0,0.0,67.31
xwbil,500,6,0.001,0.001,-16.0,0.0,65.49
xwtri,500,6,0.001,0.001,0.0,0.0,66.49
xwtri,500,6,0.001,0.001,0.0,2.0,72.02
xwtri,500,6,0.001,0.001,0.0,4.0,73.23
xwtri,500,6,0.001,0.001,0.0,8.0,71.22
xwtri,500,6,0.001,0.001,0.0,16.0,63.29
xwtri,500,6,0.001,0.001,-2.0,0.0,67.29
xwtri,500,6,0.001,0.001,-4.0,0.0,67.45
xwtri,500,6,0.001,0.001,-8.0,0.0,67.54
xwtri,500,6,0.001,0.001,-16.0,0.0,66.77
