ph_model,nhid,layers,ptdecay,ftdecay,ins,gscale,decode_acc
mono,500,6,0.001,0.001,0.0,0.0,63.56
mono,500,6,0.001,0.001,0.0,2.0,69.33
mono,500,6,0.001,0.001,0.0,4.0,69.69
mono,500,6,0.001,0.001,0.0,8.0,65.87
mono,500,6,0.001,0.001,0.0,16.0,54.60
mono,500,6,0.001,0.001,-2.0,0.0,64.56
mono,500,6,0.001,0.001,-4.0,0.0,64.53
mono,500,6,0.001,0.001,-8.0,0.0,63.66
mono,500,6,0.001,0.001,-16.0,0.0,60.20
xwbir,500,6,0.001,0.001,0.0,0.0,64.93
xwbir,500,6,0.001,0.001,0.0,2.0,71.17
xwbir,500,6,0.001,0.001,0.0,4.0,72.21
xwbir,500,6,0.001,0.001,0.0,8.0,70.11
xwbir,500,6,0.001,0.001,0.0,16.0,60.40
xwbir,500,6,0.001,0.001,-2.0,0.0,65.73
xwbir,500,6,0.001,0.001,-4.0,0.0,66.31
xwbir,500,6,0.001,0.001,-8.0,0.0,66.51
xwbir,500,6,0.001,0.001,-16.0,0.0,64.81
xwbil,500,6,0.001,0.001,0.0,0.0,65.10
xwbil,500,6,0.001,0.001,0.0,2.0,71.40
xwbil,500,6,0.001,0.001,0.0,4.0,71.62
xwbil,500,6,0.001,0.001,0.0,8.0,69.38
xwbil,500,6,0.001,0.001,0.0,16.0,59.77
xwbil,500,6,0.001,0.001,-2.0,0.0,66.29
xwbil,500,6,0.001,0.001,-4.0,0.0,66.94
xwbil,500,6,0.001,0.001,-8.0,0.0,66.92
xwbil,500,6,0.001,0.001,-16.0,0.0,65.10
xwtri,500,6,0.001,0.001,0.0,0.0,65.39
xwtri,500,6,0.001,0.001,0.0,2.0,71.88
xwtri,500,6,0.001,0.001,0.0,4.0,72.75
xwtri,500,6,0.001,0.001,0.0,8.0,71.45
xwtri,500,6,0.001,0.001,0.0,16.0,63.70
xwtri,500,6,0.001,0.001,-2.0,0.0,66.00
xwtri,500,6,0.001,0.001,-4.0,0.0,66.35
xwtri,500,6,0.001,0.001,-8.0,0.0,66.80
xwtri,500,6,0.001,0.001,-16.0,0.0,66.18
