ph_model,nhid,layers,ptdecay,ftdecay,ins,gscale,decode_acc
mono,500,6,0.001,0.001,0.0,0.0,59.77
mono,500,6,0.001,0.001,0.0,2.0,68.11
mono,500,6,0.001,0.001,0.0,4.0,68.10
mono,500,6,0.001,0.001,0.0,8.0,63.42
mono,500,6,0.001,0.001,0.0,16.0,48.90
mono,500,6,0.001,0.001,-2.0,0.0,61.61
mono,500,6,0.001,0.001,-4.0,0.0,62.20
mono,500,6,0.001,0.001,-8.0,0.0,62.01
mono,500,6,0.001,0.001,-16.0,0.0,57.73
xwbir,500,6,0.001,0.001,0.0,0.0,62.24
xwbir,500,6,0.001,0.001,0.0,2.0,70.01
xwbir,500,6,0.001,0.001,0.0,4.0,71.14
xwbir,500,6,0.001,0.001,0.0,8.0,68.39
xwbir,500,6,0.001,0.001,0.0,16.0,55.48
xwbir,500,6,0.001,0.001,-2.0,0.0,63.63
xwbir,500,6,0.001,0.001,-4.0,0.0,64.65
xwbir,500,6,0.001,0.001,-8.0,0.0,65.21
xwbir,500,6,0.001,0.001,-16.0,0.0,63.31
xwbil,500,6,0.001,0.001,0.0,0.0,60.40
xwbil,500,6,0.001,0.001,0.0,2.0,69.95
xwbil,500,6,0.001,0.001,0.0,4.0,70.76
xwbil,500,6,0.001,0.001,0.0,8.0,68.10
xwbil,500,6,0.001,0.001,0.0,16.0,54.70
xwbil,500,6,0.001,0.001,-2.0,0.0,62.32
xwbil,500,6,0.001,0.001,-4.0,0.0,63.56
xwbil,500,6,0.001,0.001,-8.0,0.0,64.90
xwbil,500,6,0.001,0.001,-16.0,0.0,63.26
xwtri,500,6,0.001,0.001,0.0,0.0,61.29
xwtri,500,6,0.001,0.001,0.0,2.0,70.28
xwtri,500,6,0.001,0.001,0.0,4.0,71.68
xwtri,500,6,0.001,0.001,0.0,8.0,69.64
xwtri,500,6,0.001,0.001,0.0,16.0,59.11
xwtri,500,6,0.001,0.001,-2.0,0.0,62.94
xwtri,500,6,0.001,0.001,-4.0,0.0,64.33
xwtri,500,6,0.001,0.001,-8.0,0.0,65.27
xwtri,500,6,0.001,0.001,-16.0,0.0,64.92
