ph_model,nhid,layers,ptdecay,ftdecay,ins,gscale,decode_acc
mono,500,6,0.001,0.001,0.0,0.0,64.50
mono,500,6,0.001,0.001,0.0,2.0,70.37
mono,500,6,0.001,0.001,0.0,4.0,70.14
mono,500,6,0.001,0.001,0.0,8.0,66.69
mono,500,6,0.001,0.001,0.0,16.0,56.14
mono,500,6,0.001,0.001,-2.0,0.0,65.27
mono,500,6,0.001,0.001,-4.0,0.0,65.50
mono,500,6,0.001,0.001,-8.0,0.0,64.71
mono,500,6,0.001,0.001,-16.0,0.0,61.24
xwbir,500,6,0.001,0.001,0.0,0.0,65.63
xwbir,500,6,0.001,0.001,0.0,2.0,71.51
xwbir,500,6,0.001,0.001,0.0,4.0,72.53
xwbir,500,6,0.001,0.001,0.0,8.0,69.60
xwbir,500,6,0.001,0.001,0.0,16.0,60.61
xwbir,500,6,0.001,0.001,-2.0,0.0,66.66
xwbir,500,6,0.001,0.001,-4.0,0.0,66.86
xwbir,500,6,0.001,0.001,-8.0,0.0,67.05
xwbir,500,6,0.001,0.001,-16.0,0.0,65.10
xwbil,500,6,0.001,0.001,0.0,0.0,66.04
xwbil,500,6,0.001,0.001,0.0,2.0,72.18
xwbil,500,6,0.001,0.001,0.0,4.0,72.66
xwbil,500,6,0.001,0.001,0.0,8.0,70.12
xwbil,500,6,0.001,0.001,0.0,16.0,60.68
xwbil,500,6,0.001,0.001,-2.0,0.0,66.74
xwbil,500,6,0.001,0.001,-4.0,0.0,67.36
xwbil,500,6,0.001,0.001,-8.0,0.0,67.26
xwbil,500,6,0.001,0.001,-16.0,0.0,65.26
xwtri,500,6,0.001,0.001,0.0,0.0,66.82
xwtri,500,6,0.001,0.001,0.0,2.0,72.13
xwtri,500,6,0.001,0.001,0.0,4.0,73.52
xwtri,500,6,0.001,0.001,0.0,8.0,72.04
xwtri,500,6,0.001,0.001,0.0,16.0,64.88
xwtri,500,6,0.001,0.001,-2.0,0.0,67.33
xwtri,500,6,0.001,0.001,-4.0,0.0,67.82
xwtri,500,6,0.001,0.001,-8.0,0.0,68.11
xwtri,500,6,0.001,0.001,-16.0,0.0,67.56
