ph_model,nhid,ctxt,layers,ptdecay,ftdecay,ins_pl,decode_acc
xwtri,500,6,3,0.001,0.0005,-8.0,72.92
xwtri,500,6,3,0.001,0.0005,-16.0,71.71
xwtri,500,6,5,0.001,0.001,0.0,71.48
xwtri,500,6,5,0.001,0.001,-2.0,72.05
xwtri,500,6,5,0.001,0.001,-1.0,71.67
xwtri,500,6,5,0.001,0.001,-4.0,72.47
xwtri,500,6,5,0.001,0.001,-8.0,73.30
xwtri,500,6,5,0.001,0.001,-16.0,72.30
xwtri,500,6,5,0.001,0.002,0.0,71.05
xwtri,500,6,5,0.001,0.002,-2.0,71.65
xwtri,500,6,5,0.001,0.002,-1.0,71.68
xwtri,500,6,5,0.001,0.002,-4.0,72.30
xwtri,500,6,5,0.001,0.002,-8.0,73.01
xwtri,500,6,5,0.001,0.002,-16.0,71.67
xwtri,500,6,5,0.001,0.003,0.0,71.34
xwtri,500,6,5,0.001,0.003,-2.0,71.88
xwtri,500,6,5,0.001,0.003,-1.0,71.62
xwtri,500,6,5,0.001,0.003,-4.0,72.49
xwtri,500,6,5,0.001,0.003,-8.0,73.13
xwtri,500,6,5,0.001,0.003,-16.0,71.73
xwtri,500,6,5,0.001,0.01,0.0,70.80
xwtri,500,6,5,0.001,0.01,-2.0,71.34
xwtri,500,6,5,0.001,0.01,-1.0,71.05
xwtri,500,6,5,0.001,0.01,-4.0,71.79
xwtri,500,6,5,0.001,0.01,-8.0,71.74
xwtri,500,6,5,0.001,0.01,-16.0,71.11
xwtri,500,6,5,0.001,0.00001,0.0,70.79
xwtri,500,6,5,0.001,0.00001,-2.0,71.59
xwtri,500,6,5,0.001,0.00001,-1.0,71.34
xwtri,500,6,5,0.001,0.00001,-4.0,72.15
xwtri,500,6,5,0.001,0.00001,-8.0,72.90
xwtri,500,6,5,0.001,0.00001,-16.0,71.44
xwtri,500,6,5,0.001,0.1,0.0,69.94
xwtri,500,6,5,0.001,0.1,-2.0,70.49
xwtri,500,6,5,0.001,0.1,-1.0,70.28
xwtri,500,6,5,0.001,0.1,-4.0,70.83
xwtri,500,6,5,0.001,0.1,-8.0,70.71
xwtri,500,6,5,0.001,0.1,-16.0,67.88
xwtri,500,6,5,0.001,0.0001,0.0,71.37
xwtri,500,6,5,0.001,0.0001,-2.0,72.04
xwtri,500,6,5,0.001,0.0001,-1.0,71.81
xwtri,500,6,5,0.001,0.0001,-4.0,72.35
xwtri,500,6,5,0.001,0.0001,-8.0,73.18
xwtri,500,6,5,0.001,0.0001,-16.0,71.93
xwtri,500,6,5,0.001,0.0005,0.0,71.33
xwtri,500,6,5,0.001,0.0005,-2.0,71.90
xwtri,500,6,5,0.001,0.0005,-1.0,71.57
xwtri,500,6,5,0.001,0.0005,-4.0,72.28
xwtri,500,6,5,0.001,0.0005,-8.0,72.98
xwtri,500,6,5,0.001,0.0005,-16.0,72.39
xwtri,500,6,7,0.001,0.001,0.0,71.59
xwtri,500,6,7,0.001,0.001,-2.0,72.11
xwtri,500,6,7,0.001,0.001,-1.0,72.07
xwtri,500,6,7,0.001,0.001,-4.0,72.41
xwtri,500,6,7,0.001,0.001,-8.0,72.73
xwtri,500,6,7,0.001,0.001,-16.0,72.24
xwtri,500,6,7,0.001,0.002,0.0,71.76
xwtri,500,6,7,0.001,0.002,-2.0,72.10
xwtri,500,6,7,0.001,0.002,-1.0,71.98
xwtri,500,6,7,0.001,0.002,-4.0,72.36
xwtri,500,6,7,0.001,0.002,-8.0,72.66
xwtri,500,6,7,0.001,0.002,-16.0,72.36
xwtri,500,6,7,0.001,0.003,0.0,71.84
xwtri,500,6,7,0.001,0.003,-2.0,72.28
xwtri,500,6,7,0.001,0.003,-1.0,72.21
xwtri,500,6,7,0.001,0.003,-4.0,72.56
xwtri,500,6,7,0.001,0.003,-8.0,72.93
xwtri,500,6,7,0.001,0.003,-16.0,72.39
xwtri,500,6,7,0.001,0.01,0.0,71.71
xwtri,500,6,7,0.001,0.01,-2.0,72.47
xwtri,500,6,7,0.001,0.01,-1.0,72.05
xwtri,500,6,7,0.001,0.01,-4.0,72.83
xwtri,500,6,7,0.001,0.01,-8.0,73.01
xwtri,500,6,7,0.001,0.01,-16.0,72.28
xwtri,500,6,7,0.001,0.00001,0.0,71.39
xwtri,500,6,7,0.001,0.00001,-2.0,72.07
xwtri,500,6,7,0.001,0.00001,-1.0,71.87
xwtri,500,6,7,0.001,0.00001,-4.0,72.42
xwtri,500,6,7,0.001,0.00001,-8.0,72.55
xwtri,500,6,7,0.001,0.00001,-16.0,72.22
xwtri,500,6,7,0.001,0.1,0.0,70.04
xwtri,500,6,7,0.001,0.1,-2.0,70.89
xwtri,500,6,7,0.001,0.1,-1.0,70.55
xwtri,500,6,7,0.001,0.1,-4.0,71.28
xwtri,500,6,7,0.001,0.1,-8.0,70.80
xwtri,500,6,7,0.001,0.1,-16.0,68.64
xwtri,500,6,7,0.001,0.0001,0.0,71.44
xwtri,500,6,7,0.001,0.0001,-2.0,72.15
xwtri,500,6,7,0.001,0.0001,-1.0,72.01
xwtri,500,6,7,0.001,0.0001,-4.0,72.44
xwtri,500,6,7,0.001,0.0001,-8.0,72.61
xwtri,500,6,7,0.001,0.0001,-16.0,72.27
xwtri,500,6,7,0.001,0.0005,0.0,71.48
xwtri,500,6,7,0.001,0.0005,-2.0,72.13
xwtri,500,6,9,0.001,0.001,0.0,ERROR
xwtri,500,6,9,0.001,0.001,-2.0,ERROR
xwtri,500,6,9,0.001,0.001,-1.0,ERROR
xwtri,500,6,9,0.001,0.001,-4.0,ERROR
xwtri,500,6,9,0.001,0.001,-8.0,ERROR
xwtri,500,6,9,0.001,0.001,-16.0,ERROR
xwtri,500,6,9,0.001,0.002,0.0,ERROR
xwtri,500,6,9,0.001,0.002,-2.0,ERROR
xwtri,500,6,9,0.001,0.002,-1.0,ERROR
xwtri,500,6,9,0.001,0.002,-4.0,ERROR
xwtri,500,6,9,0.001,0.002,-8.0,ERROR
xwtri,500,6,9,0.001,0.002,-16.0,ERROR
xwtri,500,6,9,0.001,0.003,0.0,ERROR
xwtri,500,6,9,0.001,0.003,-2.0,ERROR
xwtri,500,6,9,0.001,0.003,-1.0,ERROR
xwtri,500,6,9,0.001,0.003,-4.0,ERROR
xwtri,500,6,9,0.001,0.003,-8.0,ERROR
xwtri,500,6,9,0.001,0.003,-16.0,ERROR
xwtri,500,6,9,0.001,0.01,0.0,ERROR
xwtri,500,6,9,0.001,0.01,-2.0,ERROR
xwtri,500,6,9,0.001,0.01,-1.0,ERROR
xwtri,500,6,9,0.001,0.01,-4.0,ERROR
xwtri,500,6,9,0.001,0.01,-8.0,ERROR
xwtri,500,6,9,0.001,0.01,-16.0,ERROR
xwtri,500,6,9,0.001,0.00001,0.0,ERROR
xwtri,500,6,9,0.001,0.00001,-2.0,ERROR
xwtri,500,6,9,0.001,0.00001,-1.0,ERROR
xwtri,500,6,9,0.001,0.00001,-4.0,ERROR
xwtri,500,6,9,0.001,0.00001,-8.0,ERROR
xwtri,500,6,9,0.001,0.00001,-16.0,ERROR
xwtri,500,6,9,0.001,0.1,0.0,69.44
